player,year_start,year_end,player_position,college
A.C. Green,1986,2001,F-C,Oregon State University
A.J. Bramlett,2000,2000,C,University of Arizona
A.J. English,1991,1992,G,Virginia Union University
A.J. Guyton,2001,2003,G,Indiana University
A.J. Hammons,2017,2017,C,Purdue University
A.J. Price,2010,2015,G,University of Connecticut
A.J. Wynder,1991,1991,G,Fairfield University
A.W. Holt,1971,1971,F,Jackson State University
Aaron Brooks,2008,2018,G,University of Oregon
Aaron Gordon,2015,2018,F,University of Arizona
Aaron Gray,2008,2014,C,University of Pittsburgh
Aaron Harrison,2016,2017,G,University of Kentucky
Aaron James,1975,1979,F,Grambling State University
Aaron McKie,1995,2007,G,Temple University
Aaron Miles,2006,2006,G,University of Kansas
Aaron Swinson,1995,1995,F,Auburn University
Aaron Williams,1994,2008,F-C,Xavier University
Abdel Nader,2018,2018,F,Iowa State University
Abdul Jeelani,1980,1981,F-C,University of Wisconsin-Parkside
Acie Earl,1994,1997,F-C,University of Iowa
Acie Law,2008,2011,G,Texas A&M University
Adam Harrington,2003,2003,G,Auburn University
Adam Keefe,1993,2001,F,Stanford University
Adam Morrison,2007,2010,F,Gonzaga University
Adonal Foyle,1998,2009,C,Colgate University
Adonis Jordan,1994,1999,G,University of Kansas
Adonis Thomas,2014,2014,F,University of Memphis
Adreian Payne,2015,2018,F-C,Michigan State University
Adrian Branch,1987,1990,F-G,University of Maryland
Adrian Caldwell,1990,1998,F-C,Lamar University
Adrian Dantley,1977,1991,F-G,University of Notre Dame
Adrian Griffin,2000,2008,G-F,Seton Hall University
Adrian Smith,1962,1972,G,University of Kentucky
Al Attles,1961,1971,G,North Carolina Agricultural and Technical State University
Al Beard,1968,1968,C,Norfolk State University
Al Bianchi,1957,1966,G,Bowling Green State University
Al Brightman,1947,1947,F,University of Charleston
Al Butler,1962,1965,G,Niagara University
Al Carlson,1976,1976,C,University of Oregon
Al Cervi,1950,1953,G-F,
Al Cueto,1970,1971,C-F,University of Tulsa
Al Eberhard,1975,1978,F,University of Missouri
Al Ferrari,1956,1963,G-F,Michigan State University
Al Fleming,1978,1978,F,University of Arizona
Al Guokas,1950,1950,F-G,Saint Joseph's University
Al Hairston,1969,1970,G,Bowling Green State University
Al Harrington,1999,2014,F,
Al Henry,1971,1972,C,University of Wisconsin
Al Horford,2008,2018,C-F,University of Florida
Al Jackson,1968,1968,G,Wilberforce University
Al Jefferson,2005,2018,C-F,
Al Lucas,1949,1949,F-G,Fordham University
Al Lujack,1947,1947,F,Georgetown University
Al Masino,1953,1954,G,Canisius College
Al Miksis,1950,1950,C,Western Illinois University
Al Negratti,1947,1947,F-C,Seton Hall University
Al Roges,1954,1955,G-F,Long Island University
Al Salvadori,1968,1968,F,University of South Carolina
Al Sanders,1973,1973,F,Louisiana State University
Al Skinner,1975,1980,G,University of Massachusetts Amherst
Al Smith,1972,1976,G,Bradley University
Al Thornton,2008,2011,F,Florida State University
Al Tucker,1968,1972,F,Oklahoma Baptist University
Al Williams,1971,1971,F,Drake University
Al Wood,1982,1987,G-F,University of North Carolina
Alaa Abdelnaby,1991,1995,F-C,Duke University
Alan Anderson,2006,2017,G-F,Michigan State University
Alan Hardy,1981,1982,F,University of Michigan
Alan Henderson,1996,2007,F,Indiana University
Alan Ogg,1991,1993,C,University of Alabama at Birmingham
Alan Sawyer,1951,1951,F,"University of California, Los Angeles"
Alan Williams,2016,2017,F-C,"University of California, Santa Barbara"
Alando Tucker,2008,2010,F,University of Wisconsin
Albert King,1982,1992,F-G,University of Maryland
Alec Burks,2012,2018,G,University of Colorado
Alec Kessler,1991,1994,F-C,University of Georgia
Alec Peters,2018,2018,F,Valparaiso University
Aleksandar Djordjevic,1997,1997,G,
Aleksandar Radojevic,2000,2005,C,Barton County Community College
Alex Abrines,2017,2018,G-F,
Alex Acker,2006,2009,G,Pepperdine University
Alex Blackwell,1993,1993,F,Monmouth University
Alex Bradley,1982,1982,F,Villanova University
Alex Caruso,2018,2018,G,Texas A&M University
