player,player_position,Team,Num_of_Games,GS,season,PER,AST,TRB,PTS
Curly Armstrong,G-F,FTW,63,,1950,,176,,458
Cliff Barker,SG,INO,49,,1950,,109,,279
Leo Barnhorst,SF,CHS,67,,1950,,140,,438
Ed Bartels,F,TOT,15,,1950,,20,,63
Ed Bartels,F,DNN,13,,1950,,20,,59
Ed Bartels,F,NYK,2,,1950,,0,,4
Ralph Beard,G,INO,60,,1950,,233,,895
Gene Berce,G-F,TRI,3,,1950,,2,,10
Charlie Black,F-C,TOT,65,,1950,,163,,661
Charlie Black,F-C,FTW,36,,1950,,75,,382
Charlie Black,F-C,AND,29,,1950,,88,,279
Nelson Bobb,PG,PHW,57,,1950,,46,,242
Jake Bornheimer,F-C,PHW,60,,1950,,40,,254
Vince Boryla,SF,NYK,59,,1950,,95,,612
Don Boven,F-G,WAT,62,,1950,,137,,656
Harry Boykoff,C,WAT,61,,1950,,149,,779
Joe Bradley,G,CHS,46,,1950,,36,,87
Bob Brannum,PF,SHE,59,,1950,,205,,713
Carl Braun,G-F,NYK,67,,1950,,247,,1031
Frankie Brian,G,AND,64,,1950,,189,,1138
Price Brookfield,F-G,ROC,7,,1950,,1,,34
Bob Brown,F,DNN,62,,1950,,101,,724
Jim Browne,C,DNN,31,,1950,,8,,47
Walt Budko,PF,BLB,66,,1950,,146,,595
Jack Burmaster,G,SHE,61,,1950,,179,,598
Tommy Byrnes,F-G,BLB,53,,1950,,88,,327
Bill Calhoun,SG,ROC,62,,1950,,115,,560
Don Carlson,G-F,MNL,57,,1950,,76,,267
Bob Carpenter,F-C,FTW,66,,1950,,92,,614
Jake Carter,F-C,TOT,24,,1950,,24,,82
Jake Carter,F-C,DNN,13,,1950,,16,,44
Jake Carter,F-C,AND,11,,1950,,8,,38
Al Cervi*,PG,SYR,56,,1950,,264,,573
John Chaney,F-C,TOT,16,,1950,,20,,70
John Chaney,F-C,TRI,6,,1950,,15,,28
John Chaney,F-C,SHE,10,,1950,,5,,42
Leroy Chollet,F,SYR,49,,1950,,37,,157
Bill Closs,SF,AND,64,,1950,,160,,752
Paul Cloyd,G-F,TOT,7,,1950,,2,,19
Paul Cloyd,G-F,BLB,3,,1950,,1,,5
Paul Cloyd,G-F,WAT,4,,1950,,1,,14
Jack Coleman,PF,ROC,68,,1950,,153,,590
Bobby Cook,G-F,SHE,51,,1950,,158,,587
Ray Corley,G,SYR,60,,1950,,109,,309
Jack Cotton,F-C,DNN,54,,1950,,65,,276
Dillard Crocker,PF,DNN,53,,1950,,85,,723
Chink Crossin,G,PHW,64,,1950,,148,,449
Fran Curran,G,ROC,66,,1950,,71,,395
Jimmy Darden,G,DNN,26,,1950,,67,,211
Bob Davies*,PG,ROC,64,,1950,,294,,895
Hook Dillon,F,WSC,22,,1950,,5,,36
Earl Dodd,F,DNN,9,,1950,,6,,15
Joe Dolhon,G,BLB,64,,1950,,155,,443
Bob Doll,F-C,BOS,47,,1950,,108,,315
Harry Donovan,G,NYK,45,,1950,,38,,253
Andy Duncan,F-C,ROC,67,,1950,,42,,310
Dike Eddleman,SF,TRI,64,,1950,,142,,826
Gene Englund,F-C,TOT,46,,1950,,41,,360
Gene Englund,F-C,BOS,24,,1950,,17,,196
Gene Englund,F-C,TRI,22,,1950,,24,,164
Bob Evans,G,INO,47,,1950,,55,,142
Johnny Ezersky,F-G,TOT,54,,1950,,86,,413
Johnny Ezersky,F-G,BLB,38,,1950,,64,,306
Johnny Ezersky,F-G,BOS,16,,1950,,22,,107
Bob Feerick,F-G,WSC,60,,1950,,127,,483
George Feigenbaum,G,BLB,12,,1950,,10,,36
Arnie Ferrin,F-G,MNL,63,,1950,,95,,340
Jerry Fleishman,SG,PHW,65,,1950,,118,,297
Joe Fulks*,PF,PHW,68,,1950,,56,,965
Bill Gabor,SG,SYR,56,,1950,,108,,609
Elmer Gainer,F-C,WAT,15,,1950,,7,,24
Harry Gallatin*,F-C,NYK,68,,1950,,56,,803
Vern Gardner,SG,PHW,63,,1950,,119,,853
Frank Gates,G,AND,64,,1950,,91,,287
Dee Gibson,F-G,TRI,44,,1950,,126,,281
Hoot Gibson,F-C,TOT,32,,1950,,37,,176
Hoot Gibson,F-C,BOS,2,,1950,,1,,7
Hoot Gibson,F-C,WAT,30,,1950,,36,,169
Chuck Gilmur,F-C,WSC,68,,1950,,108,,418
Normie Glick,F,MNL,1,,1950,,0,,2
Paul Gordon,F,BLB,4,,1950,,3,,3
Joe Graboski,F-C,CHS,57,,1950,,37,,203
Bud Grant,F,MNL,35,,1950,,19,,91
Don Grate,F-G,SHE,2,,1950,,3,,4
Alex Groza,C,INO,64,,1950,,162,,1496
Al Guokas,F-G,TOT,57,,1950,,95,,214
Al Guokas,F-G,DNN,41,,1950,,85,,197
Al Guokas,F-G,PHW,16,,1950,,10,,17
Robert Hahn,C,CHS,10,,1950,,1,,10
Chick Halbert,C,WSC,68,,1950,,89,,328
Bruce Hale,G-F,INO,64,,1950,,226,,657
Dale Hamilton,G-F,WAT,14,,1950,,17,,25
Alex Hannum*,PF,SYR,64,,1950,,129,,482
John Hargis,G-F,AND,60,,1950,,102,,643
Bob Harris,F-C,FTW,62,,1950,,129,,476
Bob Harrison,G,MNL,66,,1950,,131,,300
Billy Hassett,G,TOT,60,,1950,,137,,272
Billy Hassett,G,TRI,18,,1950,,68,,161
Billy Hassett,G,MNL,42,,1950,,69,,111
Marshall Hawkins,F,INO,39,,1950,,51,,152
Bill Henry,C,TOT,63,,1950,,48,,296
Bill Henry,C,FTW,44,,1950,,39,,214
Bill Henry,C,TRI,19,,1950,,9,,82
Bill Herman,G,DNN,13,,1950,,15,,56
Kleggie Hermsen,C-F,CHS,67,,1950,,98,,545
Sonny Hertzberg,G,BOS,68,,1950,,200,,693
Paul Hoffman,G-F,BLB,60,,1950,,161,,866
Joe Holland,SF,INO,64,,1950,,130,,388
Red Holzman*,PG,ROC,68,,1950,,200,,556
Gene James,F,NYK,29,,1950,,20,,52
Howie Janotta,F,BLB,9,,1950,,4,,31
Tony Jaros,F-G,MNL,61,,1950,,60,,240
Buddy Jeannette*,G,BLB,37,,1950,,93,,193
Arnie Johnson,SF,ROC,68,,1950,,141,,498
Ralph Johnson,PG,TOT,67,,1950,,171,,590
Ralph Johnson,PG,AND,35,,1950,,104,,337
Ralph Johnson,PG,FTW,32,,1950,,67,,253
Wah Wah,PF,INO,60,,1950,,194,,751
Noble Jorgensen,C,SHE,54,,1950,,90,,704
George Kaftan,SF,BOS,55,,1950,,145,,534
Leo Katkaveck,G,WSC,54,,1950,,68,,236
Jack Kerris,PF,TOT,68,,1950,,118,,483
Jack Kerris,PF,TRI,4,,1950,,8,,26
Jack Kerris,PF,FTW,64,,1950,,110,,457
Bob Kinney,C-F,BOS,60,,1950,,100,,667
Walt Kirk,PG,TOT,58,,1950,,103,,349
Walt Kirk,PG,AND,26,,1950,,43,,119
Walt Kirk,PG,TRI,32,,1950,,60,,230
Leo Klier,F-G,FTW,66,,1950,,121,,455
Duane Klueh,G,TOT,52,,1950,,91,,475
Duane Klueh,G,DNN,33,,1950,,63,,331
Duane Klueh,G,FTW,19,,1950,,28,,144
Lee Knorek,C,BLB,1,,1950,,0,,0
Milo Komenich,F-C,AND,64,,1950,,124,,634
Leo Kubiak,G,WAT,62,,1950,,201,,710
Frank Kudelka,G-F,CHS,65,,1950,,132,,433
Walt Lautenbach,G-F,SHE,55,,1950,,73,,238
Tony Lavelli,F,BOS,56,,1950,,40,,492
Ed Leede,F-G,BOS,64,,1950,,130,,571
Andrew Levane,F-G,SYR,60,,1950,,156,,332
Freddie Lewis,F-G,TOT,34,,1950,,25,,117
Freddie Lewis,F-G,BLB,18,,1950,,18,,63
Freddie Lewis,F-G,PHW,16,,1950,,7,,54
Ron Livingstone,C,TOT,54,,1950,,141,,448
Ron Livingstone,C,BLB,16,,1950,,24,,85
Ron Livingstone,C,PHW,38,,1950,,117,,363
John Logan,G,STB,62,,1950,,240,,755
Ray Lumpp,G,NYK,58,,1950,,90,,268
Ed Macauley*,C-F,STB,67,,1950,,200,,1081
Johnny Macknowski,G-F,SYR,59,,1950,,65,,439
John Mahnken,C,TOT,62,,1950,,108,,341
John Mahnken,C,FTW,2,,1950,,2,,7
John Mahnken,C,TRI,36,,1950,,64,,223
John Mahnken,C,BOS,24,,1950,,42,,111
John Mandic,F-C,TOT,25,,1950,,8,,66
John Mandic,F-C,WSC,22,,1950,,7,,62
John Mandic,F-C,BLB,3,,1950,,1,,4
